Model,Accuracy,Precision,Recall,F1-Score,CV Mean Accuracy,CV Std Dev
Random Forest,0.4609046578106608,0.4563954729923723,0.4609046578106608,0.4550259077365146,0.4576216216216216,0.005568004880927252
Gradient Boosting,0.45972759374474526,0.45430793619914744,0.45972759374474526,0.4537076068265931,0.45351351351351354,0.005174654318656258
Neural Network,0.44913401715150497,0.4441922549157297,0.44913401715150497,0.43973017584995117,0.43769369369369365,0.006507872652450602
